as_of_date,methodology_version,gpu_model,price_type_canonical,index_value,obs_p25,obs_p75,obs_min,obs_max,source_count,total_observations,n_valid_days,confidence_flag,computed_at
2026-03-12,v1.0.0,B200_SXM,seller_ask_interruptible,3.4375,3.4375,3.4375,2.8750,5.0000,1,5,0,low,2026-03-14T19:38:09.361188+00:00
2026-03-12,v1.0.0,B200_SXM,seller_ask_noninterruptible,4.9900,4.9900,4.9900,4.9900,5.6300,2,4,1,low,2026-03-14T19:38:09.361188+00:00
2026-03-13,v1.0.0,B200_SXM,seller_ask_interruptible,2.8750,2.8125,3.4375,2.8125,5.0000,1,8,0,low,2026-03-14T19:38:20.454838+00:00
2026-03-13,v1.0.0,B200_SXM,seller_ask_noninterruptible,4.9900,4.9900,4.9900,4.9900,5.6300,2,16,2,low,2026-03-14T19:38:20.454838+00:00
2026-03-14,v1.0.0,B200_SXM,seller_ask_interruptible,3.0000,2.8125,3.4375,2.8125,5.0000,1,9,0,low,2026-03-14T02:06:20.824242+00:00
