as_of_date,methodology_version,gpu_model,price_type_canonical,index_value,obs_p25,obs_p75,obs_min,obs_max,source_count,total_observations,n_valid_days,confidence_flag,computed_at
2026-03-12,v1.0.0,L40S,seller_ask_interruptible,0.4667,0.4667,0.9333,0.4000,1.0667,2,14,1,low,2026-03-14T19:38:09.361188+00:00
2026-03-12,v1.0.0,L40S,seller_ask_noninterruptible,1.3600,0.8600,1.6100,0.8600,1.6100,2,10,1,low,2026-03-14T19:38:09.361188+00:00
2026-03-13,v1.0.0,L40S,seller_ask_interruptible,0.4667,0.4000,0.9333,0.4000,1.0667,2,31,2,low,2026-03-14T19:38:20.454838+00:00
2026-03-13,v1.0.0,L40S,seller_ask_noninterruptible,1.3600,0.8600,1.6100,0.8600,1.6100,2,27,2,low,2026-03-14T19:38:20.454838+00:00
2026-03-14,v1.0.0,L40S,seller_ask_interruptible,0.4667,0.4000,0.4667,0.4000,0.9333,2,21,3,medium,2026-03-14T02:06:20.824242+00:00
2026-03-15,v1.0.0,L40S,seller_ask_interruptible,0.4667,0.4000,0.9333,0.4000,1.0667,2,44,3,medium,2026-03-15T02:05:03.220520+00:00
