as_of_date,methodology_version,gpu_model,price_type_canonical,index_value,obs_p25,obs_p75,obs_min,obs_max,source_count,total_observations,n_valid_days,confidence_flag,computed_at
2026-03-12,v1.0.0,H200_SXM,seller_ask_interruptible,2.4516,2.4516,2.8387,2.0645,3.1613,1,25,0,low,2026-03-14T19:38:09.361188+00:00
2026-03-12,v1.0.0,H200_SXM,seller_ask_noninterruptible,3.5900,3.4400,4.2300,3.4400,4.2300,2,11,1,low,2026-03-14T19:38:09.361188+00:00
2026-03-13,v1.0.0,H200_SXM,seller_ask_interruptible,2.4516,2.4516,2.8387,2.0516,3.1613,1,52,0,low,2026-03-14T19:38:20.454838+00:00
2026-03-13,v1.0.0,H200_SXM,seller_ask_noninterruptible,3.5900,3.4400,3.5900,3.4400,4.2300,2,29,2,low,2026-03-14T19:38:20.454838+00:00
2026-03-14,v1.0.0,H200_SXM,seller_ask_interruptible,2.4516,2.4516,3.0968,2.0516,3.1613,1,39,0,low,2026-03-14T02:06:20.824242+00:00
2026-03-15,v1.0.0,H200_SXM,seller_ask_interruptible,2.4516,2.4516,2.8387,2.0516,3.1613,1,70,0,low,2026-03-15T02:05:03.220520+00:00
